iter	Passed	Remaining
928	33586	2566
929	33624	2530
930	33667	2495
931	33711	2459
932	33751	2423
933	33785	2387
934	33817	2350
935	33850	2314
936	33882	2278
937	33916	2241
938	33948	2205
939	33976	2168
940	34012	2132
941	34046	2096
942	34078	2059
943	34113	2023
944	34149	1987
945	34180	1951
946	34212	1914
947	34240	1878
948	34268	1841
949	34301	1805
950	34343	1769
951	34372	1733
952	34405	1696
953	34440	1660
954	34472	1624
955	34507	1588
956	34547	1552
957	34578	1515
958	34619	1480
959	34661	1444
960	34709	1408
961	34748	1372
962	34777	1336
963	34807	1299
964	34844	1263
965	34876	1227
966	34911	1191
967	34946	1155
968	34973	1118
969	35007	1082
970	35048	1046
971	35079	1010
972	35114	974
973	35149	938
974	35179	902
975	35205	865
976	35237	829
977	35267	793
978	35304	757
979	35337	721
980	35370	685
981	35399	648
982	35430	612
983	35462	576
984	35500	540
985	35550	504
986	35585	468
987	35626	432
988	35699	397
989	35767	361
990	35811	325
991	35856	289
992	35939	253
993	35988	217
994	36061	181
995	36118	145
996	36162	108
997	36245	72
998	36280	36
999	36356	0
